time_utc,time_msc,bid,ask,last,volume,flags
2026-08-19T02:16:02.749000+00:00,1787105762749,1.38916,1.38932,0.0,0,134
2026-08-19T02:16:02.945000+00:00,1787105762945,1.38913,1.38929,0.0,0,134
2026-08-19T02:16:03.036000+00:00,1787105763036,1.38911,1.38927,0.0,0,134
2026-08-19T02:16:03.098000+00:00,1787105763098,1.3890799999999999,1.38924,0.0,0,134
2026-08-19T02:16:03.105000+00:00,1787105763105,1.38906,1.38922,0.0,0,134
2026-08-19T02:16:03.125000+00:00,1787105763125,1.38903,1.38919,0.0,0,134
2026-08-19T02:16:03.391000+00:00,1787105763391,1.38901,1.38917,0.0,0,134
2026-08-19T02:16:03.393000+00:00,1787105763393,1.38898,1.38914,0.0,0,134
2026-08-19T02:16:03.406000+00:00,1787105763406,1.38896,1.3891200000000001,0.0,0,134
2026-08-19T02:16:03.436000+00:00,1787105763436,1.38893,1.38909,0.0,0,134
2026-08-19T02:16:03.635000+00:00,1787105763635,1.3889,1.38906,0.0,0,134
2026-08-19T02:16:03.639000+00:00,1787105763639,1.38888,1.38904,0.0,0,134
2026-08-19T02:16:03.657000+00:00,1787105763657,1.38885,1.38901,0.0,0,134
2026-08-19T02:16:03.810000+00:00,1787105763810,1.38883,1.38899,0.0,0,134
2026-08-19T02:16:03.826000+00:00,1787105763826,1.3888,1.38896,0.0,0,134
2026-08-19T02:16:03.857000+00:00,1787105763857,1.38877,1.38893,0.0,0,134
2026-08-19T02:16:03.874000+00:00,1787105763874,1.38875,1.38891,0.0,0,134
2026-08-19T02:16:03.888000+00:00,1787105763888,1.38872,1.38888,0.0,0,134
2026-08-19T02:16:03.906000+00:00,1787105763906,1.38869,1.38885,0.0,0,134
2026-08-19T02:16:03.912000+00:00,1787105763912,1.38867,1.38883,0.0,0,134
2026-08-19T02:16:03.919000+00:00,1787105763919,1.38864,1.3888,0.0,0,134
2026-08-19T02:16:03.925000+00:00,1787105763925,1.38862,1.3887800000000001,0.0,0,134
2026-08-19T02:16:03.951000+00:00,1787105763951,1.38859,1.38875,0.0,0,134
2026-08-19T02:16:04.125000+00:00,1787105764125,1.38862,1.3887800000000001,0.0,0,134
2026-08-19T02:16:04.152000+00:00,1787105764152,1.38865,1.3888099999999999,0.0,0,134
2026-08-19T02:16:04.215000+00:00,1787105764215,1.38867,1.38883,0.0,0,134
2026-08-19T02:16:04.218000+00:00,1787105764218,1.3887,1.38886,0.0,0,134
2026-08-19T02:16:04.360000+00:00,1787105764360,1.38867,1.38883,0.0,0,134
2026-08-19T02:16:04.421000+00:00,1787105764421,1.38864,1.3888,0.0,0,134
2026-08-19T02:16:04.468000+00:00,1787105764468,1.38862,1.3887800000000001,0.0,0,134
2026-08-19T02:16:04.474000+00:00,1787105764474,1.38859,1.38875,0.0,0,134
2026-08-19T02:16:04.481000+00:00,1787105764481,1.38856,1.38872,0.0,0,134
2026-08-19T02:16:04.496000+00:00,1787105764496,1.3885399999999999,1.3887,0.0,0,134
2026-08-19T02:16:04.523000+00:00,1787105764523,1.3885100000000001,1.38867,0.0,0,134
2026-08-19T02:16:04.554000+00:00,1787105764554,1.38849,1.38865,0.0,0,134
2026-08-19T02:16:04.579000+00:00,1787105764579,1.38846,1.38862,0.0,0,134
2026-08-19T02:16:04.587000+00:00,1787105764587,1.38843,1.38859,0.0,0,134
2026-08-19T02:16:04.591000+00:00,1787105764591,1.38841,1.38857,0.0,0,134
2026-08-19T02:16:04.692000+00:00,1787105764692,1.38843,1.38859,0.0,0,134
2026-08-19T02:16:05.260000+00:00,1787105765260,1.38846,1.38862,0.0,0,134
2026-08-19T02:16:05.260000+00:00,1787105765260,1.38849,1.38865,0.0,0,134
2026-08-19T02:16:05.264000+00:00,1787105765264,1.38852,1.38868,0.0,0,134
2026-08-19T02:16:05.272000+00:00,1787105765272,1.3885399999999999,1.3887,0.0,0,134
2026-08-19T02:16:05.337000+00:00,1787105765337,1.38857,1.38873,0.0,0,134
2026-08-19T02:16:05.347000+00:00,1787105765347,1.38859,1.38875,0.0,0,134
2026-08-19T02:16:05.359000+00:00,1787105765359,1.38862,1.3887800000000001,0.0,0,134
2026-08-19T02:16:05.380000+00:00,1787105765380,1.38864,1.3888,0.0,0,134
2026-08-19T02:16:05.457000+00:00,1787105765457,1.38861,1.38877,0.0,0,134
2026-08-19T02:16:05.459000+00:00,1787105765459,1.38859,1.38875,0.0,0,134
2026-08-19T02:16:05.491000+00:00,1787105765491,1.38856,1.38872,0.0,0,134
2026-08-19T02:16:05.535000+00:00,1787105765535,1.3885399999999999,1.3887,0.0,0,134
2026-08-19T02:16:05.587000+00:00,1787105765587,1.3885,1.38866,0.0,0,134
2026-08-19T02:16:06.600000+00:00,1787105766600,1.38852,1.38868,0.0,0,134
2026-08-19T02:16:06.697000+00:00,1787105766697,1.3885399999999999,1.3887,0.0,0,134
2026-08-19T02:16:07.209000+00:00,1787105767209,1.38858,1.3887399999999999,0.0,0,134
2026-08-19T02:16:07.218000+00:00,1787105767218,1.3886,1.38876,0.0,0,134
2026-08-19T02:16:07.238000+00:00,1787105767238,1.38863,1.38879,0.0,0,134
2026-08-19T02:16:07.325000+00:00,1787105767325,1.38859,1.38875,0.0,0,134
2026-08-19T02:16:07.325000+00:00,1787105767325,1.38857,1.38873,0.0,0,134
2026-08-19T02:16:07.338000+00:00,1787105767338,1.3885399999999999,1.3887,0.0,0,134
2026-08-19T02:16:07.345000+00:00,1787105767345,1.3885100000000001,1.38867,0.0,0,134
2026-08-19T02:16:07.371000+00:00,1787105767371,1.38845,1.38861,0.0,0,134
2026-08-19T02:16:07.377000+00:00,1787105767377,1.38843,1.38859,0.0,0,134
2026-08-19T02:16:07.452000+00:00,1787105767452,1.3884,1.38856,0.0,0,134
2026-08-19T02:16:08.452000+00:00,1787105768452,1.38839,1.38855,0.0,0,134
2026-08-19T02:16:08.456000+00:00,1787105768456,1.38837,1.38853,0.0,0,134
2026-08-19T02:16:08.506000+00:00,1787105768506,1.38834,1.3885,0.0,0,134
2026-08-19T02:16:08.513000+00:00,1787105768513,1.38831,1.3884699999999999,0.0,0,134
2026-08-19T02:16:08.531000+00:00,1787105768531,1.38829,1.38845,0.0,0,134
2026-08-19T02:16:08.547000+00:00,1787105768547,1.38825,1.38841,0.0,0,134
2026-08-19T02:16:08.559000+00:00,1787105768559,1.38822,1.38838,0.0,0,134
2026-08-19T02:16:08.584000+00:00,1787105768584,1.38819,1.38835,0.0,0,134
2026-08-19T02:16:08.603000+00:00,1787105768603,1.3881700000000001,1.38833,0.0,0,134
2026-08-19T02:16:08.637000+00:00,1787105768637,1.38814,1.3883,0.0,0,134
2026-08-19T02:16:08.655000+00:00,1787105768655,1.38812,1.38828,0.0,0,134
2026-08-19T02:16:08.719000+00:00,1787105768719,1.38814,1.3883,0.0,0,134
2026-08-19T02:16:08.730000+00:00,1787105768730,1.3881700000000001,1.38833,0.0,0,134
2026-08-19T02:16:08.751000+00:00,1787105768751,1.38814,1.3883,0.0,0,134
2026-08-19T02:16:08.775000+00:00,1787105768775,1.38811,1.38827,0.0,0,134
2026-08-19T02:16:08.796000+00:00,1787105768796,1.38809,1.38825,0.0,0,134
2026-08-19T02:16:09.223000+00:00,1787105769223,1.38812,1.38828,0.0,0,134
2026-08-19T02:16:09.277000+00:00,1787105769277,1.3881000000000001,1.38826,0.0,0,134
2026-08-19T02:16:10.246000+00:00,1787105770246,1.38806,1.38822,0.0,0,134
2026-08-19T02:16:10.250000+00:00,1787105770250,1.38804,1.3881999999999999,0.0,0,134
2026-08-19T02:16:10.253000+00:00,1787105770253,1.38802,1.38818,0.0,0,134
2026-08-19T02:16:10.298000+00:00,1787105770298,1.38799,1.38815,0.0,0,134
2026-08-19T02:16:10.322000+00:00,1787105770322,1.38796,1.38812,0.0,0,134
2026-08-19T02:16:10.345000+00:00,1787105770345,1.3879299999999999,1.38809,0.0,0,134
2026-08-19T02:16:10.364000+00:00,1787105770364,1.38791,1.38807,0.0,0,134
2026-08-19T02:16:10.367000+00:00,1787105770367,1.38788,1.38804,0.0,0,134
2026-08-19T02:16:10.373000+00:00,1787105770373,1.3878599999999999,1.38802,0.0,0,134
2026-08-19T02:16:10.411000+00:00,1787105770411,1.3878300000000001,1.38799,0.0,0,134
2026-08-19T02:16:10.411000+00:00,1787105770411,1.3878,1.38796,0.0,0,134
2026-08-19T02:16:10.450000+00:00,1787105770450,1.38777,1.3879299999999999,0.0,0,134
2026-08-19T02:16:10.477000+00:00,1787105770477,1.38775,1.38791,0.0,0,134
2026-08-19T02:16:10.531000+00:00,1787105770531,1.38772,1.38788,0.0,0,134
2026-08-19T02:16:10.625000+00:00,1787105770625,1.38775,1.38791,0.0,0,134
