Trade Key,Position ID,Order Ticket,Symbol,Broker Symbol,Direction,Result,Entry Time UTC,Exit Or Archive End UTC,Timeframe,Bars CSV,Entry Bar Open UTC,Exit Bar Open UTC,Entry Bar Row Index,Exit Bar Row Index,Bars In Trade Window
2195369450,2195369450,2195369450,AUDJPY,AUDJPYm,long,Loss,2026-08-20T09:30:25.271000+00:00,2026-08-20T11:57:05.760000+00:00,4h,bars/AUDJPY/4h/AUDJPY_4h.csv,2026-08-20T08:00:00+00:00,2026-08-20T08:00:00+00:00,9,9,1
2195369450,2195369450,2195369450,AUDJPY,AUDJPYm,long,Loss,2026-08-20T09:30:25.271000+00:00,2026-08-20T11:57:05.760000+00:00,15m,bars/AUDJPY/15m/AUDJPY_15m.csv,2026-08-20T09:30:00+00:00,2026-08-20T11:45:00+00:00,156,165,10
2195369450,2195369450,2195369450,AUDJPY,AUDJPYm,long,Loss,2026-08-20T09:30:25.271000+00:00,2026-08-20T11:57:05.760000+00:00,5m,bars/AUDJPY/5m/AUDJPY_5m.csv,2026-08-20T09:30:00+00:00,2026-08-20T11:55:00+00:00,468,497,30
2195935435,2195935435,2195935435,GBPAUD,GBPAUDm,short,Loss,2026-08-20T11:05:27.117000+00:00,2026-08-20T11:09:15.645000+00:00,4h,bars/GBPAUD/4h/GBPAUD_4h.csv,2026-08-20T08:00:00+00:00,2026-08-20T08:00:00+00:00,9,9,1
2195935435,2195935435,2195935435,GBPAUD,GBPAUDm,short,Loss,2026-08-20T11:05:27.117000+00:00,2026-08-20T11:09:15.645000+00:00,15m,bars/GBPAUD/15m/GBPAUD_15m.csv,2026-08-20T11:00:00+00:00,2026-08-20T11:00:00+00:00,162,162,1
2195935435,2195935435,2195935435,GBPAUD,GBPAUDm,short,Loss,2026-08-20T11:05:27.117000+00:00,2026-08-20T11:09:15.645000+00:00,5m,bars/GBPAUD/5m/GBPAUD_5m.csv,2026-08-20T11:05:00+00:00,2026-08-20T11:05:00+00:00,485,485,1
2195964203,2195964203,2195964203,NZDJPY,NZDJPYm,short,Loss,2026-08-20T11:10:20.986000+00:00,2026-08-20T12:58:55.629000+00:00,4h,bars/NZDJPY/4h/NZDJPY_4h.csv,2026-08-20T08:00:00+00:00,2026-08-20T12:00:00+00:00,9,10,2
2195964203,2195964203,2195964203,NZDJPY,NZDJPYm,short,Loss,2026-08-20T11:10:20.986000+00:00,2026-08-20T12:58:55.629000+00:00,15m,bars/NZDJPY/15m/NZDJPY_15m.csv,2026-08-20T11:00:00+00:00,2026-08-20T12:45:00+00:00,162,169,8
2195964203,2195964203,2195964203,NZDJPY,NZDJPYm,short,Loss,2026-08-20T11:10:20.986000+00:00,2026-08-20T12:58:55.629000+00:00,5m,bars/NZDJPY/5m/NZDJPY_5m.csv,2026-08-20T11:10:00+00:00,2026-08-20T12:55:00+00:00,487,508,22
2196157693,2196157693,2196157693,GBPCHF,GBPCHFm,long,Profit,2026-08-20T11:35:25.223000+00:00,2026-08-23T21:16:39.416000+00:00,4h,bars/GBPCHF/4h/GBPCHF_4h.csv,2026-08-20T08:00:00+00:00,2026-08-23T20:00:00+00:00,9,19,11
2196157693,2196157693,2196157693,GBPCHF,GBPCHFm,long,Profit,2026-08-20T11:35:25.223000+00:00,2026-08-23T21:16:39.416000+00:00,15m,bars/GBPCHF/15m/GBPCHF_15m.csv,2026-08-20T11:30:00+00:00,2026-08-23T21:15:00+00:00,164,299,136
2196157693,2196157693,2196157693,GBPCHF,GBPCHFm,long,Profit,2026-08-20T11:35:25.223000+00:00,2026-08-23T21:16:39.416000+00:00,5m,bars/GBPCHF/5m/GBPCHF_5m.csv,2026-08-20T11:35:00+00:00,2026-08-23T21:15:00+00:00,493,896,404
2197053969,2197053969,2197053969,CHFJPY,CHFJPYm,short,Profit,2026-08-20T12:45:21.289000+00:00,2026-08-21T09:21:05.364000+00:00,4h,bars/CHFJPY/4h/CHFJPY_4h.csv,2026-08-20T12:00:00+00:00,2026-08-21T08:00:00+00:00,10,15,6
2197053969,2197053969,2197053969,CHFJPY,CHFJPYm,short,Profit,2026-08-20T12:45:21.289000+00:00,2026-08-21T09:21:05.364000+00:00,15m,bars/CHFJPY/15m/CHFJPY_15m.csv,2026-08-20T12:45:00+00:00,2026-08-21T09:15:00+00:00,169,251,83
2197053969,2197053969,2197053969,CHFJPY,CHFJPYm,short,Profit,2026-08-20T12:45:21.289000+00:00,2026-08-21T09:21:05.364000+00:00,5m,bars/CHFJPY/5m/CHFJPY_5m.csv,2026-08-20T12:45:00+00:00,2026-08-21T09:20:00+00:00,507,754,248
