pair,trade_number,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,outcome,pnl_R,exit_reason
NZDUSD,52,short,2024-07-31T16:00:00+00:00,2024-08-04T20:00:00+00:00,0.59466,0.595112,0.59908,0.590374,loss,-0.102,Exit at 0.59511 via mean_revert -> LOSS (-0.10R)
NZDUSD,53,long,2024-09-03T04:00:00+00:00,2024-09-04T12:00:00+00:00,0.61994,0.620749,0.615459,0.624046,win,0.181,Exit at 0.62075 via mean_revert -> WIN (+0.18R)
NZDUSD,54,long,2024-09-09T08:00:00+00:00,2024-09-11T04:00:00+00:00,0.61515,0.615641,0.610268,0.618512,win,0.101,Exit at 0.61564 via mean_revert -> WIN (+0.10R)
NZDUSD,55,long,2024-10-01T16:00:00+00:00,2024-10-03T08:00:00+00:00,0.62835,0.622152,0.622152,0.632122,loss,-1.0,Exit at 0.62215 via atr_stop -> LOSS (-1.00R)
NZDUSD,56,long,2024-10-03T16:00:00+00:00,2024-10-04T12:00:00+00:00,0.62154,0.615888,0.615888,0.627973,loss,-1.0,Exit at 0.61589 via atr_stop -> LOSS (-1.00R)
NZDUSD,57,short,2024-11-20T00:00:00+00:00,2024-11-20T08:00:00+00:00,0.59189,0.588883,0.596814,0.588427,win,0.611,Exit at 0.58888 via mean_revert -> WIN (+0.61R)
NZDUSD,58,short,2024-11-27T16:00:00+00:00,2024-12-01T20:00:00+00:00,0.59042,0.590181,0.596754,0.586092,win,0.038,Exit at 0.59018 via mean_revert -> WIN (+0.04R)
NZDUSD,59,short,2025-01-06T12:00:00+00:00,2025-01-07T16:00:00+00:00,0.56746,0.56372,0.571882,0.561817,win,0.846,Exit at 0.56372 via mean_revert -> WIN (+0.85R)
NZDUSD,60,short,2025-01-14T08:00:00+00:00,2025-01-14T12:00:00+00:00,0.56189,0.558995,0.566956,0.558829,win,0.571,Exit at 0.55900 via mean_revert -> WIN (+0.57R)
NZDUSD,61,short,2025-01-20T20:00:00+00:00,2025-01-21T00:00:00+00:00,0.56758,0.56272,0.574113,0.562438,win,0.744,Exit at 0.56272 via mean_revert -> WIN (+0.74R)
NZDUSD,62,long,2025-02-26T12:00:00+00:00,2025-02-27T12:00:00+00:00,0.56964,0.565509,0.565509,0.572501,loss,-1.0,Exit at 0.56551 via atr_stop -> LOSS (-1.00R)
NZDUSD,63,short,2025-03-05T00:00:00+00:00,2025-03-05T12:00:00+00:00,0.56605,0.571325,0.571325,0.562374,loss,-1.0,Exit at 0.57132 via atr_stop -> LOSS (-1.00R)
NZDUSD,64,long,2025-03-20T12:00:00+00:00,2025-03-25T08:00:00+00:00,0.57371,0.573044,0.568138,0.578959,loss,-0.119,Exit at 0.57304 via mean_revert -> LOSS (-0.12R)
NZDUSD,65,short,2025-04-10T04:00:00+00:00,2025-04-11T08:00:00+00:00,0.5686,0.581442,0.581442,0.559817,loss,-1.0,Exit at 0.58144 via atr_stop -> LOSS (-1.00R)
NZDUSD,66,long,2025-05-08T20:00:00+00:00,2025-05-12T00:00:00+00:00,0.59035,0.592705,0.583882,0.595507,win,0.364,Exit at 0.59271 via mean_revert -> WIN (+0.36R)
NZDUSD,67,long,2025-07-07T04:00:00+00:00,2025-07-08T04:00:00+00:00,0.60199,0.603509,0.597476,0.605835,win,0.336,Exit at 0.60351 via mean_revert -> WIN (+0.34R)
NZDUSD,68,short,2025-08-07T08:00:00+00:00,2025-08-08T20:00:00+00:00,0.59636,0.594837,0.600823,0.592576,win,0.341,Exit at 0.59484 via mean_revert -> WIN (+0.34R)
