meta_trade_id,meta_symbol,meta_signal_time_utc,k_paths,k_p_target_first,k_p_stop_first,k_p_timeout,k_expected_r,k_median_r,k_expected_r_p25,k_mean_mfe_r,k_mean_mae_r,k_mean_terminal_r,k_p_terminal_favorable,k_dispersion_r,k_mean_bars_to_exit,k_reward_r,k_target_stop_ratio,k_error
trade-15d1b993a4f56bd4,USDJPY,2025-09-19T08:30:00Z,30.0,0.93333333,0.03333333,0.03333333,8.13021241,8.49194507,8.49194507,9.39310546,-0.49646217,12.8781073,0.96666667,6.080715,50.26666667,8.49194507,27.99919002,
trade-ba38b36e3834f2d0,AUDUSD,2025-09-19T15:15:00Z,30.0,0.16666667,0.83333333,0.0,-0.35322663,-1.0,-1.0,0.99352609,-1.28682207,10.39088513,1.0,1.89126768,18.8,2.88064024,0.20000096,
trade-4406ae03e5a6fc16,AUDUSD,2025-09-22T06:30:00Z,30.0,0.43333333,0.56666667,0.0,0.3737986,-1.0,-1.0,1.32463557,-0.95629626,1.9172185,1.0,0.51453988,25.4,2.17030446,0.7647063,
trade-dd2f5548a8d8cc96,AUDUSD,2025-09-22T10:40:00Z,30.0,0.23333333,0.76666667,0.0,0.11802191,-1.0,-1.0,1.397834,-1.12828668,4.22322859,1.0,2.29221272,13.7,3.79152246,0.30434873,
trade-041f9fdd40ee739a,AUDUSD,2025-09-22T22:00:00Z,30.0,0.06666667,0.93333333,0.0,-0.79573624,-1.0,-1.0,0.19307439,-1.17394157,0.42558801,0.73333333,0.77229971,16.7,2.0639564,0.07142957,
trade-66008f48105fa4ee,AUDUSD,2025-09-23T06:10:00Z,30.0,0.0,0.63333333,0.36666667,-0.21682601,-1.0,-1.0,1.18967443,-0.98452623,1.20271811,1.0,0.44654269,40.4,4.66634874,1.58e-06,
trade-77de8350cca1a28c,AUDUSD,2025-09-23T07:15:00Z,30.0,0.0,0.53333333,0.46666667,-0.16543294,-1.0,-1.0,1.19328682,-1.02054757,0.827425,0.93333333,0.49147761,51.66666667,3.84486491,1.87e-06,
trade-e05125e03cdc9a08,NZDUSD,2025-09-24T05:55:00Z,30.0,0.0,0.9,0.1,-0.9245586,-1.0,-1.0,0.48377277,-1.22656961,0.6561507,0.73333333,0.67917058,23.93333333,3.46005231,1.11e-06,
trade-3caad9a786b186e4,AUDUSD,2025-09-24T07:15:00Z,30.0,1.0,0.0,0.0,1.84693971,1.84693971,1.84693971,2.16297283,-0.20034348,2.27445046,1.0,0.38414033,17.9,1.84693971,1000001.0,
trade-e5c8ec569c73c659,GBPUSD,2025-09-24T11:35:00Z,30.0,0.0,0.06666667,0.93333333,2.40489506,2.62891183,2.47329672,3.033924,-0.46017387,2.64131738,1.0,0.2862591,90.46666667,4.71916917,1.5e-05,
trade-07a3cfa77cf71382,AUDUSD,2025-09-24T13:55:00Z,30.0,0.0,0.5,0.5,-0.65684657,-0.85344371,-1.0,0.19169885,-1.0065356,-0.44587022,0.06666667,0.52147477,56.46666667,4.38435356,2e-06,
trade-11aa52044ebc81a8,EURUSD,2025-09-24T15:20:00Z,30.0,0.9,0.1,0.0,3.2126475,3.68071945,3.68071945,3.38780789,-0.67643304,4.31614557,1.0,0.34528116,39.63333333,3.68071945,8.99992,
trade-2726e72e872ae9cf,USDJPY,2025-09-24T15:20:00Z,30.0,0.33333333,0.66666667,0.0,5.26331733,-1.0,-1.0,6.68100625,-1.22999042,17.90124775,1.0,0.80349699,17.56666667,17.78995198,0.50000075,
trade-dfe8cd013ddac128,USDCAD,2025-09-24T20:50:00Z,30.0,0.9,0.1,0.0,4.90441079,5.56045643,5.56045643,5.77398682,-0.37150444,7.69501797,1.0,0.56326871,33.5,5.56045643,8.99992,
trade-2e63306e94fd7776,GBPUSD,2025-09-25T01:25:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.52378621,-1.43078921,16.17190404,1.0,1.64614777,6.06666667,14.02148522,1e-06,
trade-609003424c345cbe,GBPUSD,2025-09-25T06:15:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.55913211,-1.24301471,11.53594987,1.0,1.39388431,9.53333333,9.85202185,1e-06,
trade-9a87065c2fd31fe3,USDJPY,2025-09-25T11:10:00Z,30.0,0.26666667,0.73333333,0.0,3.95065239,-1.0,-1.0,6.02839179,-1.09937629,21.57471452,1.0,1.99687198,19.5,17.56494646,0.36363723,
trade-7e04678956047adc,AUDUSD,2025-09-25T12:05:00Z,30.0,0.0,0.86666667,0.13333333,-0.53714806,-1.0,-1.0,1.06710116,-1.20005936,4.12364167,0.96666667,1.55392672,21.53333333,6.60576943,1.15e-06,
trade-8c443a627b3f9082,GBPUSD,2025-09-25T19:40:00Z,30.0,0.36666667,0.0,0.63333333,4.88086837,4.20046126,2.96599558,5.36800973,-0.27356459,5.82195568,1.0,3.37702908,89.33333333,7.44214108,366667.66666667,
trade-0c98cc2392ca1f8f,AUDUSD,2025-09-25T20:20:00Z,30.0,0.66666667,0.33333333,0.0,5.82078901,9.23118351,-1.0,6.95184144,-0.86244553,15.70009383,1.0,1.15925501,40.7,9.23118351,1.999997,
trade-e455f7ff73d4ba0e,USDCAD,2025-09-25T21:10:00Z,30.0,0.43333333,0.56666667,0.0,0.48470217,-1.0,-1.0,1.56717011,-0.84261625,3.49563119,0.76666667,4.4927863,20.53333333,2.42623579,0.7647063,
trade-66799f65261f6d68,USDCHF,2025-09-26T00:00:00Z,30.0,0.83333333,0.16666667,0.0,3.53072204,4.43686645,4.43686645,4.70743242,-0.46551509,9.56869304,0.96666667,3.02147804,35.9,4.43686645,4.999976,
trade-aea617ec543fbe17,AUDUSD,2025-09-26T07:00:00Z,30.0,0.2,0.8,0.0,0.76515701,-1.0,-1.0,2.31757022,-1.75454949,9.28969239,1.0,1.17133442,19.83333333,7.82578505,0.25000094,
