meta_trade_id,meta_symbol,meta_signal_time_utc,k_paths,k_p_target_first,k_p_stop_first,k_p_timeout,k_expected_r,k_median_r,k_expected_r_p25,k_mean_mfe_r,k_mean_mae_r,k_mean_terminal_r,k_p_terminal_favorable,k_dispersion_r,k_mean_bars_to_exit,k_reward_r,k_target_stop_ratio,k_error
trade-15d1b993a4f56bd4,USDJPY,2025-09-19T08:30:00Z,30.0,0.43333333,0.03333333,0.53333333,6.40514716,6.89195193,4.72633047,6.95183615,-0.55920653,7.13341805,1.0,2.51780756,79.5,8.49194507,12.99964001,
trade-ba38b36e3834f2d0,AUDUSD,2025-09-19T15:15:00Z,30.0,0.73333333,0.26666667,0.0,1.84580284,2.88064024,-0.02983994,2.70663981,-0.81877585,8.00054783,1.0,1.07224327,44.53333333,2.88064024,2.74999344,
trade-4406ae03e5a6fc16,AUDUSD,2025-09-22T06:30:00Z,30.0,0.43333333,0.56666667,0.0,0.3737986,-1.0,-1.0,1.23942481,-1.10799671,2.62882799,0.96666667,0.69524046,39.6,2.17030446,0.7647063,
trade-dd2f5548a8d8cc96,AUDUSD,2025-09-22T10:40:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.32905187,-1.391496,3.71849646,1.0,1.12917551,7.43333333,3.79152246,1e-06,
trade-041f9fdd40ee739a,AUDUSD,2025-09-22T22:00:00Z,30.0,0.06666667,0.76666667,0.16666667,-0.53841405,-1.0,-1.0,0.73600019,-1.06951674,-0.00716866,0.53333333,0.68156034,47.9,2.0639564,0.08695771,
trade-66008f48105fa4ee,AUDUSD,2025-09-23T06:10:00Z,30.0,0.0,0.7,0.3,-0.18294593,-1.0,-1.0,1.16597871,-1.13361723,1.61935248,0.96666667,0.72540865,38.26666667,4.66634874,1.43e-06,
trade-77de8350cca1a28c,AUDUSD,2025-09-23T07:15:00Z,30.0,0.0,0.8,0.2,-0.57028525,-1.0,-1.0,0.86328634,-1.15206261,1.0419722,1.0,0.29349668,35.7,3.84486491,1.25e-06,
trade-e05125e03cdc9a08,NZDUSD,2025-09-24T05:55:00Z,30.0,0.0,0.83333333,0.16666667,-0.6244822,-1.0,-1.0,0.52940422,-1.13263404,1.00448736,1.0,0.38997712,29.16666667,3.46005231,1.2e-06,
trade-3caad9a786b186e4,AUDUSD,2025-09-24T07:15:00Z,30.0,1.0,0.0,0.0,1.84693971,1.84693971,1.84693971,2.01333564,-0.23051843,2.66047246,1.0,0.3938779,37.6,1.84693971,1000001.0,
trade-e5c8ec569c73c659,GBPUSD,2025-09-24T11:35:00Z,30.0,0.0,0.0,1.0,2.91774657,2.89618398,2.83437574,3.34255589,-0.15742678,2.91774657,1.0,0.10695186,96.0,4.71916917,1.0,
trade-07a3cfa77cf71382,AUDUSD,2025-09-24T13:55:00Z,30.0,0.0,0.76666667,0.23333333,-0.79066927,-1.0,-1.0,0.23352276,-1.12212014,-0.19329057,0.23333333,0.33105699,43.8,4.38435356,1.3e-06,
trade-11aa52044ebc81a8,EURUSD,2025-09-24T15:20:00Z,30.0,0.46666667,0.0,0.53333333,3.43117373,3.50809916,3.18739454,3.57401946,-0.12383573,3.42024524,1.0,0.32728394,82.3,3.68071945,466667.66666667,
trade-2726e72e872ae9cf,USDJPY,2025-09-24T15:20:00Z,30.0,0.43333333,0.16666667,0.4,13.71206618,16.08105672,15.03552944,15.0789409,-0.64640908,15.52149264,1.0,0.87878456,60.83333333,17.78995198,2.5999904,
trade-dfe8cd013ddac128,USDCAD,2025-09-24T20:50:00Z,30.0,0.76666667,0.23333333,0.0,4.02968326,5.56045643,5.56045643,5.07198556,-0.74516342,5.81871673,1.0,0.64730652,25.56666667,5.56045643,3.28570449,
trade-2e63306e94fd7776,GBPUSD,2025-09-25T01:25:00Z,30.0,0.16666667,0.6,0.23333333,4.35421981,-1.0,-1.0,6.03367787,-1.40400966,12.68740545,1.0,1.83810975,45.9,14.02148522,0.27777898,
trade-609003424c345cbe,GBPUSD,2025-09-25T06:15:00Z,30.0,0.03333333,0.96666667,0.0,-0.63826594,-1.0,-1.0,0.79151961,-1.77364439,9.0543545,1.0,1.39376784,9.06666667,9.85202185,0.03448376,
trade-9a87065c2fd31fe3,USDJPY,2025-09-25T11:10:00Z,30.0,0.0,0.56666667,0.43333333,4.42990198,-1.0,-1.0,6.18240584,-0.92239331,12.29745251,1.0,1.13094053,46.86666667,17.56494646,1.76e-06,
trade-7e04678956047adc,AUDUSD,2025-09-25T12:05:00Z,30.0,0.0,0.96666667,0.03333333,-0.93136349,-1.0,-1.0,0.66751254,-1.34284666,2.2682001,1.0,0.71713569,10.96666667,6.60576943,1.03e-06,
trade-8c443a627b3f9082,GBPUSD,2025-09-25T19:40:00Z,30.0,0.96666667,0.03333333,0.0,7.16073637,7.44214108,7.44214108,7.58236168,-0.41525955,10.52689942,1.0,0.42761653,49.8,7.44214108,28.99916003,
trade-0c98cc2392ca1f8f,AUDUSD,2025-09-25T20:20:00Z,30.0,0.43333333,0.56666667,0.0,3.43351285,-1.0,-1.0,4.9536604,-0.97063974,14.68964762,1.0,0.78441826,26.96666667,9.23118351,0.7647063,
trade-e455f7ff73d4ba0e,USDCAD,2025-09-25T21:10:00Z,30.0,0.93333333,0.06666667,0.0,2.19782007,2.42623579,2.42623579,2.63756173,-0.43309309,5.01486618,1.0,0.3183713,43.46666667,2.42623579,13.999805,
trade-66799f65261f6d68,USDCHF,2025-09-26T00:00:00Z,30.0,1.0,0.0,0.0,4.43686645,4.43686645,4.43686645,4.64029427,-0.24098097,7.65288763,1.0,0.78915552,46.13333333,4.43686645,1000001.0,
trade-aea617ec543fbe17,AUDUSD,2025-09-26T07:00:00Z,30.0,0.06666667,0.93333333,0.0,-0.41161433,-1.0,-1.0,1.09549582,-1.51869635,7.28699857,1.0,0.77369188,16.6,7.82578505,0.07142957,
trade-b855eac4e99bbf77,USDJPY,2025-09-26T07:35:00Z,30.0,0.76666667,0.1,0.13333333,6.1284108,7.01760918,7.01760918,6.68869426,-0.38952219,7.18557402,1.0,0.53366008,73.13333333,7.01760918,7.6666,
